sgRNA	gene	9606.sample	CRISPR_C6596666.sample
BBC3_CCDS12697.1_ex2_19:47731666-47731689:-_18-17	BBC3	578	704
CHCHD7_CCDS55232.1_ex2_8:57128958-57128981:-_9-3	CHCHD7	140	109
sgCDK6_9	CDK6_LS	325	491
BROX_CCDS1534.1_ex6_1:222900526-222900549:+_5-3	BROX	120	173
CLEC4D_CCDS8593.1_ex3_12:8671644-8671667:-_5-3	CLEC4D	166	339
sgDHX30_6	DHX30_LS	114	333
CTRL00662	NON-TARGETING	353	368
sgCSK_3	CSK_LS	270	396
CRHR1_CCDS42350.1_ex6_17:43907898-43907921:-_5-3	CRHR1	562	518
NMU_CCDS3501.1_ex7_4:56496605-56496628:-_5-5	NMU	255	211
GORASP2_CCDS33325.1_ex5_2:171811199-171811222:+_5-3	GORASP2	616	553
ZBTB9_CCDS4780.1_ex0_6:33423148-33423171:+_5-3	ZBTB9	512	647
sgSUPT7L_1	SUPT7L_LS	382	451
PLEK2_CCDS9782.1_ex7_14:67864464-67864487:-_5-5	PLEK2	326	371
sgRAD54B_4	RAD54B_LS	318	253
FOXK1_CCDS34591.1_ex3_7:4794988-4795011:+_5-5	FOXK1	582	707
CD8A_CCDS1992.1_ex4_2:87017695-87017718:-_5-4	CD8A	458	710
SLC16A5_CCDS11713.1_ex2_17:73096174-73096197:+_5-3	SLC16A5	807	869
MUC4_CCDS54700.1_ex23_3:195515613-195515636:+_10-6	MUC4	805	735
ADPRHL2_CCDS402.1_ex1_1:36556919-36556942:+_5-2	ADPRHL2	491	479
TSPAN18_CCDS7910.1_ex3_11:44940837-44940860:-_5-4	TSPAN18	628	544
ANKS4B_CCDS42130.1_ex1_16:21261462-21261485:+_5-4	ANKS4B	418	231
MFAP4_CCDS11208.1_ex3_17:19289726-19289749:+_5-5	MFAP4	372	434
sgINTS10_1	INTS10_LS	130	525
VPREB1_CCDS13798.1_ex1_22:22599437-22599460:+_5-2	VPREB1	285	364
MAT2A_CCDS1977.1_ex5_2:85769363-85769386:+_5-5	MAT2A	9	247
AARS_CCDS32474.1_ex16_16:70305735-70305758:-_5-3	AARS	177	351
KIAA1731_CCDS44708.1_ex13_11:93429919-93429942:-_5-4	KIAA1731	505	486
IL15RA_CCDS58069.1_ex5_10:6008155-6008178:+_5-4	IL15RA	425	603
