sgRNA	gene	9606.sample	CRISPR_C6596666.sample
NFYA_CCDS4849.1_ex3_6:41057314-41057337:+_5-3	NFYA	343	392
SERPINC1_CCDS1313.1_ex5_1:173883825-173883848:+_5-3	SERPINC1	971	726
KRT6A_CCDS41786.1_ex8_12:52886498-52886521:-_3-3	KRT6A	189	302
ZBTB18_CCDS1622.1_ex1_1:244217200-244217223:-_5-1	ZBTB18	776	814
SPIN1_CCDS43843.1_ex3_9:91083282-91083305:-_5-5	SPIN1	536	703
MESDC1_CCDS10316.1_ex0_15:81294826-81294849:+_5-1	MESDC1	548	595
KIAA1919_CCDS5090.1_ex3_6:111587169-111587192:+_5-3	KIAA1919	388	370
MINOS1_CCDS30620.1_ex1_1:19948629-19948652:-_3-1	MINOS1	99	37
TUBA1B_CCDS31792.1_ex1_12:49523029-49523052:+_5-3	TUBA1B	158	619
ZAK_CCDS2251.1_ex2_2:174047659-174047682:-_5-3	ZAK	755	628
POC1B-GALNT4_CCDS55860.1_ex0_12:89918154-89918177:-_1-1	POC1B-GALNT4	234	313
GPR112_CCDS35409.1_ex2_X:135429638-135429661:+_5-5	GPR112	431	328
GLTPD2_CCDS32534.1_ex2_17:4692833-4692856:-_5-1	GLTPD2	387	428
AMHR2_CCDS53798.1_ex4_12:53819239-53819262:-_5-2	AMHR2	291	303
CTSZ_CCDS13474.1_ex3_20:57576537-57576560:+_5-1	CTSZ	606	610
CYP2B6_CCDS12570.1_ex1_19:41510038-41510061:-_5-2	CYP2B6	416	474
RRH_CCDS3687.1_ex2_4:110756559-110756582:+_5-2	RRH	382	370
GIMAP6_CCDS34778.1_ex0_7:150325426-150325449:-_6-5	GIMAP6	460	659
DNAJC1_CCDS7136.1_ex10_10:22218051-22218074:+_5-4	DNAJC1	751	604
C7orf50_CCDS5320.1_ex1_7:1040144-1040167:-_5-2	C7orf50	147	100
IPO7_CCDS31425.1_ex1_11:9424874-9424897:+_5-1	IPO7	128	377
SLC7A4_CCDS33608.1_ex3_22:21385701-21385724:-_5-2	SLC7A4	737	818
ALDH7A1_CCDS4137.2_ex17_5:125930712-125930735:-_5-4	ALDH7A1	340	311
GABRR2_CCDS5020.3_ex7_6:90009472-90009495:-_5-5	GABRR2	456	579
ZNF417_CCDS12965.1_ex0_19:58421081-58421104:+_5-2	ZNF417	283	474
SLC5A5_CCDS12368.1_ex3_19:17985500-17985523:-_5-4	SLC5A5	515	583
MESDC1_CCDS10316.1_ex0_15:81295058-81295081:-_5-3	MESDC1	571	739
SEMA6C_CCDS53363.1_ex9_1:151109469-151109492:+_5-2	SEMA6C	1055	944
GLIPR1_CCDS9011.1_ex1_12:75875622-75875645:-_5-2	GLIPR1	781	615
OCLM_CCDS58051.1_ex0_1:186370243-186370266:+_1-1	OCLM	0	3
PDZRN3_CCDS33789.1_ex9_3:73673565-73673588:-_5-3	PDZRN3	445	575
RPLP1_CCDS10233.1_ex2_15:69747586-69747609:-_7-7	RPLP1	145	652
SEC61A2_CCDS44358.1_ex7_10:12198950-12198973:-_5-4	SEC61A2	402	531
GYPE_CCDS47138.1_ex0_4:144797985-144798008:-_1-1	GYPE	56	94
ERBB2_CCDS32642.1_ex11_17:37872103-37872126:+_5-4	ERBB2	257	400
DIO1_CCDS30722.1_ex0_1:54360179-54360202:-_11-7	DIO1	494	516
TLK1_CCDS2241.1_ex11_2:171906400-171906423:-_5-2	TLK1	453	522
sgPARP3_10	PARP3_LS	447	449
RALBP1_CCDS11845.1_ex1_18:9517068-9517091:+_5-2	RALBP1	180	236
GJD3_CCDS58547.1_ex0_17:38519686-38519709:+_5-3	GJD3	478	584
ENO1_CCDS97.1_ex4_1:8925412-8925435:+_5-1	ENO1	564	472
MRPL15_CCDS6158.1_ex1_8:55049203-55049226:+_5-2	MRPL15	168	392
SNX13_CCDS47551.1_ex20_7:17915330-17915353:-_5-2	SNX13	103	148
SEZ6L2_CCDS10658.1_ex10_16:29897014-29897037:+_5-4	SEZ6L2	660	478
JAKMIP3_CCDS44494.1_ex6_10:133950767-133950790:-_5-5	JAKMIP3	774	685
FGA_CCDS3787.1_ex1_4:155507639-155507662:-_5-1	FGA	604	669
SHE_CCDS30877.1_ex5_1:154474152-154474175:-_5-3	SHE	708	927
DLST_CCDS9833.1_ex2_14:75352306-75352329:+_5-2	DLST	87	519
sgATF2_1	ATF2_LS	658	430
FAM153B_CCDS43401.2_ex4_5:175523852-175523875:-_5-2	FAM153B	370	422
GMNC_CCDS54697.1_ex1_3:190575672-190575695:-_5-4	GMNC	194	244
sgBMPR1B_8	BMPR1B_LS	456	442
FGD5_CCDS46767.1_ex0_3:14862687-14862710:+_5-5	FGD5	465	506
ZFPM1_CCDS32502.1_ex8_16:88599290-88599313:+_5-4	ZFPM1	584	568
LDHB_CCDS8691.1_ex5_12:21799831-21799854:-_5-5	LDHB	427	344
TIPIN_CCDS10215.1_ex2_15:66641437-66641460:+_5-1	TIPIN	151	201
sgORC6_5	ORC6_LS	279	345
PLEKHA6_CCDS1444.1_ex14_1:204228412-204228435:-_5-4	PLEKHA6	555	734
SUGT1_CCDS45050.1_ex10_13:53241032-53241055:+_6-3	SUGT1	38	39
LST1_CCDS43450.2_ex1_6:31555488-31555511:+_10-2	LST1	524	482
SLC24A4_CCDS45155.2_ex4_14:92908492-92908515:-_5-1	SLC24A4	558	545
ENSA_CCDS959.1_ex2_1:150598949-150598972:-_9-3	ENSA	490	511
FAM83C_CCDS13251.1_ex0_20:33875562-33875585:+_5-1	FAM83C	511	713
C21orf140_CCDS63357.1_ex0_21:35773195-35773218:-_5-5	C21orf140	564	378
C14orf80_CCDS45180.1_ex3_14:105958969-105958992:-_5-5	C14orf80	140	410
ARL9_CCDS59474.1_ex2_4:57389901-57389924:+_5-5	ARL9	204	223
KLHL42_CCDS31763.1_ex0_12:27933937-27933960:+_5-4	KLHL42	360	630
GJA5_CCDS929.1_ex0_1:147231234-147231257:-_5-5	GJA5	301	631
SCGB3A1_CCDS4456.1_ex1_5:180017755-180017778:-_5-4	SCGB3A1	644	681
RASGRP1_CCDS45221.1_ex7_15:38800134-38800157:-_5-1	RASGRP1	482	531
SIVA1_CCDS9992.1_ex2_14:105222942-105222965:-_7-5	SIVA1	590	648
DDIT3_CCDS55838.1_ex0_12:57910871-57910894:+_7-3	DDIT3	545	644
DUOX2_CCDS10117.1_ex30_15:45404760-45404783:-_5-4	DUOX2	581	710
STPG1_CCDS253.1_ex5_1:24710425-24710448:+_5-5	STPG1	451	626
PROCA1_CCDS11239.1_ex2_17:27031744-27031767:+_5-4	PROCA1	236	588
SKIDA1_CCDS44363.1_ex0_10:21806504-21806527:+_5-5	SKIDA1	1108	852
PPP3R2_CCDS6759.1_ex0_9:104356941-104356964:+_5-1	PPP3R2	530	580
NPFFR2_CCDS3551.1_ex1_4:72994405-72994428:-_5-1	NPFFR2	36	53
C4orf48_CCDS47000.2_ex1_4:2044466-2044489:-_6-5	C4orf48	548	515
LRFN5_CCDS9678.1_ex0_14:42356402-42356425:-_5-3	LRFN5	307	353
PRMT7_CCDS10866.1_ex5_16:68373253-68373276:+_5-1	PRMT7	626	874
GFER_CCDS32368.1_ex0_16:2034455-2034478:+_5-3	GFER	203	508
RTP4_CCDS33910.1_ex1_3:187088729-187088752:-_5-4	RTP4	326	440
TPI1_CCDS53740.1_ex3_12:6978473-6978496:-_9-7	TPI1	277	562
HELLS_CCDS7434.1_ex7_10:96333729-96333752:-_5-1	HELLS	262	178
CDO1_CCDS4121.1_ex4_5:115151920-115151943:+_5-4	CDO1	515	568
REG3A_CCDS1965.1_ex1_2:79384801-79384824:-_5-1	REG3A	656	615
GJB6_CCDS9291.1_ex0_13:20797504-20797527:-_5-5	GJB6	477	632
TMEM9B_CCDS66021.1_ex1_11:8974832-8974855:-_7-4	TMEM9B	492	337
TMEM132D_CCDS9266.1_ex7_12:130184623-130184646:-_5-5	TMEM132D	649	621
BST2_CCDS12358.1_ex3_19:17516086-17516109:+_5-1	BST2	474	359
PCGF3_CCDS3339.2_ex4_4:738409-738432:+_5-5	PCGF3	541	382
SLC5A7_CCDS2074.1_ex5_2:108622625-108622648:-_5-5	SLC5A7	716	553
AP5M1_CCDS9729.1_ex1_14:57741472-57741495:-_5-5	AP5M1	459	391
SLC5A11_CCDS10625.1_ex3_16:24883520-24883543:-_5-1	SLC5A11	672	579
ZNF416_CCDS12954.1_ex0_19:58084856-58084879:-_5-2	ZNF416	340	441
FCAMR_CCDS41460.1_ex3_1:207139150-207139173:+_5-4	FCAMR	545	479
POMC_CCDS1717.1_ex0_2:25384512-25384535:+_5-4	POMC	460	468
B3GALT5_CCDS13667.1_ex0_21:41032709-41032732:-_5-3	B3GALT5	603	540
sgCDKL3_7	CDKL3_LS	89	296
TMCO6_CCDS4233.2_ex4_5:140021913-140021936:+_5-5	TMCO6	606	547
DHRS11_CCDS11315.2_ex1_17:34951504-34951527:-_5-3	DHRS11	623	506
ANGPTL4_CCDS12200.1_ex0_19:8429440-8429463:-_5-2	ANGPTL4	355	371
sgHDAC6_1	HDAC6_LS	442	442
C12orf74_CCDS41819.1_ex0_12:93100707-93100730:-_5-5	C12orf74	216	220
JMJD8_CCDS45369.1_ex3_16:733399-733422:-_5-2	JMJD8	452	368
HR_CCDS6022.1_ex16_8:21984589-21984612:-_5-1	HR	381	342
SUGT1_CCDS45050.1_ex4_13:53233347-53233370:+_6-1	SUGT1	239	133
HMGCLL1_CCDS43474.1_ex6_6:55406578-55406601:-_5-3	HMGCLL1	261	256
CLEC3B_CCDS2726.1_ex2_3:45077005-45077028:+_5-1	CLEC3B	1092	660
C17orf78_CCDS45655.1_ex2_17:35736254-35736277:-_5-2	C17orf78	314	523
NDUFA7_CCDS42492.1_ex1_19:8381428-8381451:+_5-2	NDUFA7	429	431
COL15A1_CCDS35081.1_ex14_9:101787275-101787298:-_5-4	COL15A1	1008	622
FILIP1_CCDS4984.1_ex4_6:76124500-76124523:-_5-5	FILIP1	115	184
PRG2_CCDS58133.1_ex2_11:57156090-57156113:+_5-1	PRG2	529	574
FCER1A_CCDS1184.1_ex3_1:159275869-159275892:+_5-4	FCER1A	122	63
TACR1_CCDS1958.1_ex4_2:75425766-75425789:+_5-3	TACR1	711	770
PPP1R3D_CCDS13483.1_ex0_20:58514406-58514429:+_5-2	PPP1R3D	687	541
TNFAIP1_CCDS11227.1_ex2_17:26668279-26668302:-_5-5	TNFAIP1	721	752
SLC16A14_CCDS2473.1_ex2_2:230914557-230914580:+_5-5	SLC16A14	780	703
NARFL_CCDS10425.1_ex6_16:784852-784875:+_5-2	NARFL	0	0
SLCO1B3_CCDS8684.1_ex5_12:21015717-21015740:+_5-3	SLCO1B3	530	541
PPIC_CCDS4133.1_ex1_5:122361599-122361622:-_5-1	PPIC	611	572
sgING4_1	ING4_LS	344	315
UBAC2_CCDS45064.1_ex1_13:99890780-99890803:-_5-1	UBAC2	680	757
DDAH1_CCDS705.1_ex5_1:85930496-85930519:+_7-6	DDAH1	0	0
NCDN_CCDS30672.1_ex1_1:36026617-36026640:+_5-4	NCDN	381	488
RLN1_CCDS6462.1_ex0_9:5335467-5335490:+_4-2	RLN1	666	532
sgPADI4_3	PADI4_LS	493	443
LRRC6_CCDS6365.1_ex7_8:133645085-133645108:-_5-3	LRRC6	291	303
CDK20_CCDS35060.1_ex6_9:90588859-90588882:+_5-5	CDK20	433	642
SDK2_CCDS45769.1_ex30_17:71418454-71418477:-_5-2	SDK2	338	748
TGFBRAP1_CCDS2067.1_ex10_2:105924405-105924428:-_5-5	TGFBRAP1	688	766
AKAP12_CCDS5229.1_ex2_6:151670627-151670650:-_5-2	AKAP12	403	267
WISP1_CCDS6371.1_ex2_8:134232902-134232925:+_17-9	WISP1	599	848
PXMP2_CCDS9279.1_ex1_12:133266939-133266962:-_5-2	PXMP2	267	309
MTX3_CCDS47239.2_ex3_5:79284292-79284315:-_5-2	MTX3	353	276
LYPD4_CCDS12587.1_ex1_19:42342219-42342242:+_5-2	LYPD4	647	629
sgGON4L_2	GON4L_LS	65	153
LANCL3_CCDS14240.1_ex0_X:37431647-37431670:+_5-5	LANCL3	571	844
ORAI3_CCDS10697.1_ex1_16:30964623-30964646:-_5-2	ORAI3	271	556
TLX2_CCDS1947.1_ex0_2:74742304-74742327:-_5-4	TLX2	873	897
LYN_CCDS47859.1_ex7_8:56879274-56879297:+_5-5	LYN	46	43
BCMO1_CCDS10934.1_ex4_16:81298243-81298266:+_5-4	BCMO1	90	73
CPNE4_CCDS3072.1_ex9_3:131388517-131388540:-_5-2	CPNE4	992	766
PLA2G16_CCDS8047.1_ex2_11:63365518-63365541:+_5-4	PLA2G16	342	365
ELF5_CCDS7892.1_ex4_11:34515052-34515075:+_8-5	ELF5	627	640
PNPLA1_CCDS34438.1_ex1_6:36260876-36260899:+_5-1	PNPLA1	772	521
STK38_CCDS4822.1_ex8_6:36485577-36485600:-_5-3	STK38	661	602
sgUBE2E1_3	UBE2E1_LS	137	151
GRIA3_CCDS14604.1_ex3_X:122460020-122460043:+_5-3	GRIA3	411	373
FOLR1_CCDS8211.1_ex1_11:71906496-71906519:-_5-3	FOLR1	434	521
KLK8_CCDS12813.1_ex3_19:51503771-51503794:-_12-10	KLK8	784	518
CREM_CCDS31181.1_ex2_10:35467837-35467860:+_26-4	CREM	252	236
MISP_CCDS12042.1_ex0_19:757664-757687:-_5-4	MISP	573	512
TMEM50A_CCDS264.1_ex1_1:25669548-25669571:-_5-4	TMEM50A	296	213
C2orf40_CCDS2072.1_ex2_2:106690368-106690391:-_5-3	C2orf40	92	104
PNPLA4_CCDS14129.1_ex1_X:7870117-7870140:+_5-1	PNPLA4	616	555
RAB1A_CCDS46305.1_ex1_2:65325157-65325180:-_7-6	RAB1A	223	323
sgTSSK3_2	TSSK3_LS	368	320
FERMT2_CCDS45107.1_ex14_14:53417161-53417184:-_5-5	FERMT2	532	666
FDX1L_CCDS32905.1_ex2_19:10426131-10426154:-_5-2	FDX1L	89	785
NEURL2_CCDS13384.1_ex1_20:44519495-44519518:+_5-4	NEURL2	451	525
WTAP_CCDS5266.1_ex4_6:160169248-160169271:-_5-5	WTAP	412	875
ACBD3_CCDS1551.1_ex4_1:226349283-226349306:-_5-1	ACBD3	310	361
MRPL30_CCDS2041.1_ex3_2:99811586-99811609:-_5-4	MRPL30	87	143
FGF3_CCDS8195.1_ex1_11:69631164-69631187:-_5-3	FGF3	576	522
CTRL00386	NON-TARGETING	514	319
CC2D1B_CCDS30714.1_ex16_1:52825489-52825512:+_5-4	CC2D1B	351	413
RAB38_CCDS8281.1_ex1_11:87882931-87882954:-_5-1	RAB38	598	438
DLG2_CCDS41696.1_ex8_11:83252876-83252899:+_8-5	DLG2	225	371
PCDHGB1_CCDS54923.1_ex0_5:140731085-140731108:-_5-5	PCDHGB1	960	794
MOG_CCDS34366.1_ex2_6:29633948-29633971:-_13-8	MOG	571	403
SLC13A3_CCDS13400.1_ex8_20:45224965-45224988:-_5-4	SLC13A3	423	299
DOCK11_CCDS35373.1_ex2_X:117676896-117676919:+_5-1	DOCK11	470	434
CTRL00635	NON-TARGETING	526	517
sgEREG_4	EREG_LS	531	512
SLITRK1_CCDS9464.1_ex0_13:84455197-84455220:-_5-4	SLITRK1	611	502
COIL_CCDS11592.1_ex5_17:55027823-55027846:-_5-1	COIL	211	179
ZNF33B_CCDS7198.1_ex0_10:43090002-43090025:+_5-5	ZNF33B	138	121
REPIN1_CCDS43677.1_ex0_7:150068914-150068937:+_5-3	REPIN1	776	849
DDX54_CCDS31907.1_ex16_12:113617032-113617055:+_5-5	DDX54	76	470
ASPSCR1_CCDS11796.1_ex3_17:79943381-79943404:+_5-2	ASPSCR1	672	522
PFN4_CCDS1709.1_ex2_2:24344140-24344163:+_5-4	PFN4	514	642
TXNL4B_CCDS10906.1_ex2_16:72124520-72124543:+_5-5	TXNL4B	176	583
ABHD2_CCDS10348.1_ex2_15:89698721-89698744:-_5-4	ABHD2	359	333
SPOCK2_CCDS44431.1_ex1_10:73847965-73847988:-_7-5	SPOCK2	588	522
ZNF512_CCDS1758.1_ex7_2:27825382-27825405:+_5-3	ZNF512	400	334
SAPCD2_CCDS7027.2_ex5_9:139964794-139964817:-_5-5	SAPCD2	898	840
KIAA0586_CCDS45115.1_ex12_14:58927781-58927804:+_5-4	KIAA0586	107	109
ENTPD5_CCDS9825.1_ex11_14:74453565-74453588:+_5-4	ENTPD5	193	193
C4orf51_CCDS47140.1_ex0_4:146601504-146601527:+_5-3	C4orf51	168	171
C6orf203_CCDS5058.1_ex0_6:107361106-107361129:-_5-2	C6orf203	342	306
CTRL00263	NON-TARGETING	404	309
ACSM5_CCDS10585.1_ex4_16:20435268-20435291:+_5-5	ACSM5	301	324
CYLD_CCDS42164.1_ex0_16:50783969-50783992:+_5-2	CYLD	413	376
TLR8_CCDS14152.1_ex1_X:12938340-12938363:+_5-4	TLR8	133	183
TRPM5_CCDS31340.1_ex15_11:2436647-2436670:+_5-4	TRPM5	770	954
UBL7_CCDS10263.1_ex4_15:74742371-74742394:+_5-1	UBL7	794	811
TK1_CCDS11754.1_ex3_17:76178675-76178698:-_5-2	TK1	232	454
PGAM1_CCDS7458.1_ex0_10:99186181-99186204:+_5-1	PGAM1	472	824
sgEHMT2_8	EHMT2_LS	358	383
CFHR3_CCDS30958.1_ex1_1:196748467-196748490:-_5-3	CFHR3	468	540
SPRYD3_CCDS8845.1_ex7_12:53468881-53468904:-_5-2	SPRYD3	578	567
DDX19B_CCDS10888.1_ex5_16:70358568-70358591:+_5-2	DDX19B	523	282
LCTL_CCDS10220.1_ex5_15:66850158-66850181:-_5-1	LCTL	312	219
EIF4E1B_CCDS47345.1_ex2_5:176070659-176070682:+_5-2	EIF4E1B	909	857
IL9_CCDS4189.1_ex3_5:135231243-135231266:+_5-4	IL9	601	562
CLGN_CCDS3751.1_ex12_4:141331710-141331733:-_5-5	CLGN	419	539
CRLS1_CCDS13096.1_ex0_20:5987073-5987096:-_8-1	CRLS1	446	687
ZNF560_CCDS12214.1_ex3_19:9581169-9581192:-_5-5	ZNF560	677	570
PARP6_CCDS10241.2_ex19_15:72558233-72558256:-_5-5	PARP6	507	465
ZSCAN22_CCDS12975.1_ex0_19:58846341-58846364:+_5-1	ZSCAN22	625	579
ZNF442_CCDS12271.1_ex0_19:12462048-12462071:+_5-3	ZNF442	439	395
CSN1S1_CCDS47067.1_ex4_4:70802174-70802197:+_5-2	CSN1S1	68	82
ZNF655_CCDS47655.1_ex2_7:99170069-99170092:+_11-10	ZNF655	664	359
UQCRQ_CCDS34237.1_ex0_5:132202649-132202672:-_3-1	UQCRQ	0	0
SHB_CCDS43806.1_ex5_9:38068418-38068441:-_5-5	SHB	1360	887
KLC4_CCDS47429.1_ex3_6:43034128-43034151:-_5-5	KLC4	483	528
STK11_CCDS45896.1_ex0_19:1207082-1207105:+_5-1	STK11	831	677
POU6F1_CCDS31803.1_ex1_12:51585464-51585487:-_5-1	POU6F1	158	268
MSX2_CCDS4392.1_ex0_5:174151984-174152007:+_5-3	MSX2	860	606
KIAA1324L_CCDS34677.2_ex10_7:86547814-86547837:+_5-1	KIAA1324L	654	500
SMARCA5_CCDS3761.1_ex6_4:144449036-144449059:+_5-3	SMARCA5	114	434
ZIC4_CCDS43160.1_ex2_3:147113975-147113998:+_11-7	ZIC4	814	697
SGCE_CCDS47642.1_ex9_7:94259118-94259141:-_5-5	SGCE	537	429
AQP8_CCDS10626.1_ex1_16:25228747-25228770:-_5-3	AQP8	441	428
DYNAP_CCDS11957.1_ex1_18:52262288-52262311:-_5-3	DYNAP	456	354
SH3GL2_CCDS6483.1_ex4_9:17787469-17787492:-_5-4	SH3GL2	225	238
LEPROTL1_CCDS47834.1_ex2_8:29961827-29961850:-_6-1	LEPROTL1	27	22
sgFKBP5_10	FKBP5_LS	638	559
sgDHX33_6	DHX33_LS	25	413
DKK3_CCDS7808.1_ex5_11:12023904-12023927:+_5-3	DKK3	618	483
GSG1_CCDS44835.1_ex4_12:13243565-13243588:-_5-4	GSG1	395	457
GGT7_CCDS13242.2_ex11_20:33449289-33449312:-_5-3	GGT7	520	629
ZMYM6NB_CCDS53296.1_ex0_1:35447701-35447724:+_5-2	ZMYM6NB	668	583
IFIT3_CCDS31241.1_ex1_10:91099140-91099163:-_5-5	IFIT3	701	677
BOLA3_CCDS33224.1_ex1_2:74372352-74372375:+_6-5	BOLA3	33	75
ZNF43_CCDS12413.2_ex0_19:21992554-21992577:+_5-4	ZNF43	314	366
MYO18B_CCDS54507.1_ex16_22:26239769-26239792:-_5-5	MYO18B	284	316
PPIL4_CCDS34550.1_ex9_6:149862172-149862195:+_5-3	PPIL4	8	348
sgRPL23_4	RPL23_LS	10	174
TEX26_CCDS9339.1_ex4_13:31540354-31540377:-_5-5	TEX26	167	323
SALL2_CCDS32045.1_ex0_14:21992579-21992602:+_5-1	SALL2	630	652
ANKRD36_CCDS54379.1_ex1_2:97783802-97783825:-_5-1	ANKRD36	276	349
VAPA_CCDS11847.2_ex5_18:9950480-9950503:+_9-9	VAPA	224	206
ZSCAN20_CCDS41300.1_ex4_1:33957288-33957311:-_5-4	ZSCAN20	202	397
ADCY7_CCDS10741.1_ex8_16:50334986-50335009:+_5-4	ADCY7	477	510
GPR156_CCDS2997.1_ex2_3:119900173-119900196:-_5-2	GPR156	625	655
C2orf66_CCDS2317.1_ex0_2:197672308-197672331:-_5-1	C2orf66	346	266
ERAS_CCDS35246.1_ex0_X:48687721-48687744:-_5-2	ERAS	696	682
GRK7_CCDS3120.1_ex0_3:141497678-141497701:-_5-3	GRK7	320	375
DPEP1_CCDS10982.1_ex4_16:89703321-89703344:+_5-5	DPEP1	712	788
FAM203A_CCDS6417.1_ex0_8:145193114-145193137:-_5-4	FAM203A	849	682
CD72_CCDS6581.1_ex5_9:35617185-35617208:+_5-4	CD72	865	631
sgTFDP1_9	TFDP1_LS	299	394
C1orf94_CCDS381.1_ex0_1:34663182-34663205:-_5-1	C1orf94	459	333
YIF1A_CCDS8132.1_ex6_11:66055593-66055616:+_5-4	YIF1A	352	445
CD244_CCDS1210.1_ex7_1:160811610-160811633:-_5-5	CD244	422	418
EFHB_CCDS33715.2_ex12_3:19975007-19975030:+_5-4	EFHB	98	301
SPTBN1_CCDS33198.1_ex5_2:54845308-54845331:+_5-1	SPTBN1	969	708
EXOC7_CCDS11741.1_ex13_17:74094074-74094097:-_5-3	EXOC7	123	348
REG3G_CCDS1962.1_ex1_2:79253910-79253933:-_5-3	REG3G	256	272
MLLT11_CCDS982.1_ex0_1:151039849-151039872:+_5-5	MLLT11	677	597
PSMD4_CCDS991.1_ex6_1:151238566-151238589:+_5-4	PSMD4	203	664
PLK1_CCDS10616.1_ex1_16:23691446-23691469:-_5-3	PLK1	10	547
CNP_CCDS11414.2_ex1_17:40120576-40120599:-_5-5	CNP	1047	746
FABP12_CCDS47882.1_ex1_8:82439307-82439330:+_5-1	FABP12	425	350
FMO3_CCDS1292.1_ex2_1:171076825-171076848:-_5-4	FMO3	48	64
GPR88_CCDS772.1_ex0_1:101004724-101004747:-_5-3	GPR88	284	403
ARFGEF2_CCDS13411.1_ex13_20:47592610-47592633:+_5-4	ARFGEF2	407	499
TMIGD2_CCDS12126.1_ex2_19:4294768-4294791:+_5-1	TMIGD2	562	685
sgPSMB4_10	PSMB4_LS	7	338
YBEY_CCDS33591.1_ex0_21:47707004-47707027:-_5-3	YBEY	507	415
LCOR_CCDS53561.1_ex0_10:98709030-98709053:+_5-2	LCOR	474	507
SNW1_CCDS9867.1_ex5_14:78198913-78198936:-_5-1	SNW1	29	266
sgSYF2_3	SYF2_LS	105	281
SBF2_CCDS31427.1_ex26_11:9989968-9989991:-_5-4	SBF2	399	232
CRHBP_CCDS4034.1_ex2_5:76249979-76250002:-_5-2	CRHBP	865	729
ARHGAP27_CCDS32670.1_ex0_17:43507156-43507179:+_10-6	ARHGAP27	510	468
NLGN4Y_CCDS14788.1_ex0_Y:16734240-16734263:-_12-2	NLGN4Y	1277	805
ZPLD1_CCDS2947.1_ex2_3:102171838-102171861:+_5-1	ZPLD1	214	364
sgFER_10	FER_LS	652	587
NLRP13_CCDS33119.1_ex6_19:56424095-56424118:+_5-2	NLRP13	517	505
ARHGEF6_CCDS14660.1_ex20_X:135861574-135861597:-_5-4	ARHGEF6	366	294
ZNF181_CCDS32990.2_ex3_19:35231716-35231739:-_5-2	ZNF181	347	475
MBNL3_CCDS14633.1_ex4_X:131525072-131525095:-_5-2	MBNL3	571	401
GFOD2_CCDS10845.1_ex1_16:67719419-67719442:-_7-4	GFOD2	414	508
CETN1_CCDS11820.1_ex0_18:580674-580697:-_5-5	CETN1	869	744
CEACAM1_CCDS12609.1_ex5_19:43025545-43025568:+_10-5	CEACAM1	258	286
CHTOP_CCDS1048.1_ex2_1:153614757-153614780:+_5-2	CHTOP	472	611
B4GALT1_CCDS6535.1_ex5_9:33166816-33166839:+_5-3	B4GALT1	311	236
DDX3Y_CCDS14782.1_ex4_Y:15024709-15024732:+_5-3	DDX3Y	951	582
C7orf62_CCDS34678.1_ex0_7:88423833-88423856:-_5-1	C7orf62	130	114
TMEM72_CCDS41504.1_ex3_10:45429080-45429103:-_5-3	TMEM72	640	583
PPP2R3B_CCDS14104.1_ex6_X:306271-306294:+_3-1	PPP2R3B	535	656
TSGA10_CCDS2037.1_ex7_2:99688275-99688298:-_5-1	TSGA10	574	700
FAXC_CCDS34500.1_ex5_6:99797029-99797052:+_5-3	FAXC	377	431
CNTN6_CCDS2557.1_ex4_3:1337312-1337335:+_5-3	CNTN6	432	325
FCRL6_CCDS30912.1_ex2_1:159778015-159778038:-_5-1	FCRL6	454	506
sgWDR61_10	WDR61_LS	286	411
ARG1_CCDS5145.1_ex3_6:131902347-131902370:+_5-3	ARG1	262	204
GREB1L_CCDS45836.1_ex8_18:19024348-19024371:+_5-1	GREB1L	620	563
PAM16_CCDS10512.1_ex2_16:4391403-4391426:+_5-2	PAM16	57	397
BACH1_CCDS13585.1_ex1_21:30698688-30698711:-_5-2	BACH1	438	348
NOL6_CCDS6543.1_ex22_9:33470112-33470135:+_5-3	NOL6	181	465
DECR2_CCDS10409.1_ex4_16:460301-460324:+_5-4	DECR2	292	330
MAST4_CCDS47224.1_ex1_5:66055644-66055667:+_10-5	MAST4	0	3
CCDC171_CCDS6481.1_ex4_9:15594040-15594063:+_5-1	CCDC171	247	171
NCKAP5_CCDS46417.1_ex7_2:133618087-133618110:+_5-1	NCKAP5	479	372
RPS25_CCDS8406.1_ex2_11:118888678-118888701:-_5-5	RPS25	130	511
ARMC5_CCDS42155.1_ex2_16:31473744-31473767:+_5-5	ARMC5	245	448
CYB561D2_CCDS2827.1_ex2_3:50390679-50390702:+_5-3	CYB561D2	421	512
sgRIPK1_7	RIPK1_LS	176	465
ASB6_CCDS6924.1_ex4_9:132402976-132402999:+_5-5	ASB6	349	326
sgSBK2_7	SBK2_LS	539	517
AIF1L_CCDS55348.1_ex2_9:133981592-133981615:-_8-2	AIF1L	416	258
CAB39L_CCDS9416.2_ex4_13:49925005-49925028:+_5-1	CAB39L	265	221
BCLAF1_CCDS47485.1_ex9_6:136599414-136599437:+_5-2	BCLAF1	87	129
DBX2_CCDS31781.1_ex3_12:45444569-45444592:-_5-5	DBX2	664	608
sgMYO3B_9	MYO3B_LS	554	487
NOM1_CCDS34787.1_ex0_7:156743390-156743413:+_5-5	NOM1	55	164
sgNEK2_4	NEK2_LS	479	460
MPPED1_CCDS46723.1_ex0_22:43821079-43821102:+_5-1	MPPED1	908	872
EEF1G_CCDS44626.1_ex5_11:62338561-62338584:-_5-2	EEF1G	420	472
CCDC83_CCDS66196.1_ex2_11:85593584-85593607:+_5-2	CCDC83	334	313
