"sgRNA","gene","logFC","logCPM","LR","PValue","FDR"
"INTS9_CCDS34873.1_ex12_8:28695156-28695179:-_5-4","INTS9",-3.87121700525948,1.16486605077252,42.4576325050319,7.22299964308141e-11,2.37037446805508e-07
"CDC20_CCDS484.1_ex1_1:43825220-43825243:-_5-3","CDC20",-4.60284380871546,0.535888333150994,42.1776952865915,8.33452073525629e-11,2.63745908667185e-07
"SRP19_CCDS4108.1_ex1_5:112198245-112198268:-_6-1","SRP19",-3.14654276222326,2.15269500213783,41.6442530634504,1.09486754607406e-10,3.3452356478427e-07
"ZNF335_CCDS13389.1_ex18_20:44590740-44590763:+_5-2","ZNF335",-3.97004475118928,0.584349532393037,41.4057631374735,1.23692185684132e-10,3.65328993490939e-07
"SRP54_CCDS53893.1_ex6_14:35482574-35482597:+_5-4","SRP54",-3.98007413860304,1.00675285498466,41.1595912366764,1.4029313964992e-10,3.89392648965842e-07
"POLR2I_CCDS12487.1_ex4_19:36605559-36605582:-_5-5","POLR2I",-3.70316039823407,1.47215178756172,41.1549189073637,1.40628905118242e-10,3.89392648965842e-07
"HIST1H2AD_CCDS4591.1_ex0_6:26199260-26199283:+_4-1","HIST1H2AD",-3.25878399416694,1.87460090075967,40.2265169211114,2.26157567963245e-10,5.78452127027835e-07
"SART3_CCDS9117.1_ex12_12:108932759-108932782:-_5-2","SART3",-3.44395832331262,2.44381599532233,40.1721855030193,2.32535610684791e-10,5.78452127027835e-07
"RPL8_CCDS6433.1_ex3_8:146017182-146017205:+_5-3","RPL8",-3.31938322857692,1.75148110604794,40.1532551459853,2.34799916634231e-10,5.78452127027835e-07
"RPS29_CCDS32072.1_ex1_14:50052743-50052766:-_4-4","RPS29",-3.5736259342765,1.28173303313946,40.1514160690593,2.35021065988782e-10,5.78452127027835e-07
"MCM2_CCDS3043.1_ex4_3:127324973-127324996:-_5-3","MCM2",-3.34632021317036,1.41052493421251,40.0543083951689,2.46999358378988e-10,5.91503382392664e-07
"RPS19_CCDS12588.1_ex2_19:42373103-42373126:-_5-4","RPS19",-3.5666908109668,2.05620509684504,39.9190152844624,2.64713576171055e-10,6.17242398163487e-07
"PSMD11_CCDS11272.1_ex5_17:30796103-30796126:-_5-4","PSMD11",-3.4098383013887,1.3754262135492,39.5564353943509,3.18714410845894e-10,7.2410279711311e-07
"RPS19_CCDS12588.1_ex1_19:42365186-42365209:+_5-1","RPS19",-5.24964534420575,-0.332829510908038,39.3722191107963,3.50244669757429e-10,7.60473254401938e-07
"PSMB2_CCDS394.1_ex3_1:36096908-36096931:+_5-4","PSMB2",-3.83725233350868,1.13591623609303,39.3453602418625,3.55095630595402e-10,7.60473254401938e-07
"POLR2L_CCDS7720.1_ex0_11:840418-840441:+_4-1","POLR2L",-4.0195644018666,1.04545424796884,39.3160245711493,3.60470811061118e-10,7.60473254401938e-07
"RPL13_CCDS10979.1_ex1_16:89627630-89627653:-_5-1","RPL13",-3.75905981499905,0.732548682833921,38.7411140720872,4.83908144024261e-10,9.97143372311946e-07
"SMR3B_CCDS3540.1_ex1_4:71255463-71255486:-_5-4","SMR3B",-5.48884131625577,-0.69751263140561,38.6816076709883,4.9888795053082e-10,1.00464694874395e-06
"USP39_CCDS33234.1_ex3_2:85850856-85850879:-_5-1","USP39",-4.60419410096449,0.0681710202059393,38.5324559476039,5.3850669850814e-10,1.06033165617805e-06
"PSMA7_CCDS13489.1_ex4_20:60714932-60714955:+_5-5","PSMA7",-3.5686580299964,1.16266978239569,38.4042181634356,5.75079608756578e-10,1.10772834377142e-06
"ABCE1_CCDS34071.1_ex8_4:146038520-146038543:-_5-5","ABCE1",-4.32657656341469,0.597098867085165,37.9594236994341,7.22313363171612e-10,1.33682168395243e-06
"C2orf57_CCDS2487.1_ex0_2:232457793-232457816:+_5-2","C2orf57",-5.24787088532367,-1.01389731675583,37.9543655816224,7.24188439041561e-10,1.33682168395243e-06
"RPL13A_CCDS12768.1_ex2_19:49993474-49993497:+_5-1","RPL13A",-3.4464053444753,1.01747427728559,37.9093065378992,7.41108668476333e-10,1.34013621793906e-06
"CDC45_CCDS13762.1_ex8_22:19486628-19486651:-_5-4","CDC45",-4.21719571155055,0.246320349766277,37.6264695065565,8.56739610030502e-10,1.51824539772725e-06
"BIRC5_CCDS11755.1_ex1_17:76210747-76210770:+_5-2","BIRC5",-3.37204140728455,2.11516992542575,37.2900127186446,1.01804630259077e-09,1.76872569975212e-06
"COMMD6_CCDS9452.1_ex1_13:76101971-76101994:+_5-1","COMMD6",-3.16904717997356,1.50402026208055,37.0891574274431,1.12849474268125e-09,1.92291163788489e-06
