"sgRNA","gene","plasmid","HT29_c905","HT29_c906","HT29_c907","HT29_c908","SW626_c905"
"AADACL4_CCDS30590.1_ex2_1:12721791-12721814:+_5-4","AADACL4",305,413.444444444444,506.333333333333,355.666666666667,263,316.333333333333
"AADACL4_CCDS30590.1_ex2_1:12721814-12721837:-_5-5","AADACL4",434,466.222222222222,622.166666666667,364,362,445.666666666667
"AADAT_CCDS3814.1_ex10_4:171008288-171008311:-_5-3","AADAT",281,279.333333333333,369.5,199.333333333333,258.166666666667,332.666666666667
"AADAT_CCDS3814.1_ex11_4:171009546-171009569:-_5-4","AADAT",383,325.111111111111,450.5,258.666666666667,245.666666666667,252.666666666667
"AADAT_CCDS3814.1_ex11_4:171009609-171009632:-_5-5","AADAT",92,120.333333333333,132.5,98.3333333333333,72.8333333333333,45.6666666666667
"AADAT_CCDS3814.1_ex8_4:170994416-170994439:+_5-1","AADAT",184,163.111111111111,136.5,133.333333333333,135.666666666667,110.333333333333
"AADAT_CCDS3814.1_ex8_4:170994468-170994491:+_5-2","AADAT",317,325.333333333333,434.166666666667,253.333333333333,244.5,299.666666666667
"AAED1_CCDS35073.1_ex2_9:99413754-99413777:+_5-1","AAED1",260,419.888888888889,418,360.666666666667,283.666666666667,291.333333333333
"AAED1_CCDS35073.1_ex3_9:99413958-99413981:+_5-2","AAED1",101,144,145.5,111.666666666667,92.6666666666667,117.666666666667
"AAED1_CCDS35073.1_ex4_9:99417018-99417041:-_5-3","AAED1",164,149.888888888889,183.666666666667,165.333333333333,131.833333333333,138.333333333333
"AAED1_CCDS35073.1_ex5_9:99417373-99417396:+_5-4","AAED1",442,603.888888888889,694.166666666667,478.666666666667,503,484.333333333333
"AAED1_CCDS35073.1_ex5_9:99417399-99417422:+_5-5","AAED1",627,664.666666666667,637.166666666667,588.333333333333,713.833333333333,508.666666666667
"AAGAB_CCDS42050.1_ex3_15:67500938-67500961:+_5-1","AAGAB",438,632.222222222222,540.333333333333,582,508.833333333333,643
"AAGAB_CCDS42050.1_ex4_15:67501824-67501847:-_5-2","AAGAB",246,272.555555555556,344,266.666666666667,211.5,295.666666666667
"AAGAB_CCDS42050.1_ex5_15:67524161-67524184:+_5-3","AAGAB",330,382.888888888889,469.166666666667,316.666666666667,390,299
"AAGAB_CCDS42050.1_ex5_15:67524213-67524236:-_5-4","AAGAB",200,179.222222222222,218.833333333333,164.666666666667,181.833333333333,119.666666666667
"AAGAB_CCDS42050.1_ex6_15:67528322-67528345:-_5-5","AAGAB",363,406.444444444444,472.666666666667,298,427.333333333333,377
"AAK1_CCDS1893.2_ex10_2:69746228-69746251:-_5-1","AAK1",522,634.111111111111,622.166666666667,451.666666666667,614.833333333333,655.666666666667
"AAK1_CCDS1893.2_ex11_2:69748068-69748091:-_5-2","AAK1",421,563.444444444444,552.166666666667,354.333333333333,323.5,351
"AAK1_CCDS1893.2_ex13_2:69754414-69754437:+_5-3","AAK1",596,732.666666666667,847.5,568.333333333333,752.166666666667,558
"AAK1_CCDS1893.2_ex15_2:69757767-69757790:-_5-4","AAK1",304,296.111111111111,372.5,183.666666666667,210.666666666667,228.333333333333
"AAK1_CCDS1893.2_ex20_2:69870036-69870059:-_5-5","AAK1",480,462.111111111111,531.333333333333,383.333333333333,631.666666666667,314.333333333333
"AAMDC_CCDS8254.1_ex0_11:77553633-77553656:+_5-1","AAMDC",366,364.444444444444,480,264.333333333333,258.666666666667,248
"AAMDC_CCDS8254.1_ex1_11:77580763-77580786:-_5-2","AAMDC",432,473,480.5,424,510.333333333333,436.333333333333
"AAMDC_CCDS8254.1_ex1_11:77580785-77580808:-_5-3","AAMDC",319,379.777777777778,349.666666666667,286,373.333333333333,151
"AAMDC_CCDS8254.1_ex1_11:77580845-77580868:+_5-4","AAMDC",390,530.666666666667,478.5,456.333333333333,662,390.333333333333
"AAMDC_CCDS8254.1_ex2_11:77583223-77583246:-_5-5","AAMDC",348,457.888888888889,425.833333333333,399.666666666667,297,373.333333333333
"AAMP_CCDS33378.1_ex10_2:219134694-219134717:-_5-5","AAMP",551,252.222222222222,257.333333333333,125.333333333333,185,276.333333333333
"AAMP_CCDS33378.1_ex6_2:219131229-219131252:+_5-1","AAMP",298,39.2222222222222,47.3333333333333,34,45.5,160.666666666667
"AAMP_CCDS33378.1_ex8_2:219132241-219132264:+_5-2","AAMP",99,8.77777777777778,16,6.33333333333333,9,16.3333333333333
"AAMP_CCDS33378.1_ex8_2:219132278-219132301:-_5-3","AAMP",593,70.3333333333333,73.5,41.3333333333333,69,208.666666666667
"AAMP_CCDS33378.1_ex9_2:219134119-219134142:+_5-4","AAMP",506,350.222222222222,402.166666666667,348.666666666667,382.166666666667,353.333333333333
"AANAT_CCDS11745.1_ex0_17:74464923-74464946:-_5-1","AANAT",519,605.111111111111,726.5,506.666666666667,542.666666666667,439.333333333333
"AANAT_CCDS11745.1_ex0_17:74464970-74464993:-_5-2","AANAT",378,381.222222222222,482.333333333333,343,470,324
"AANAT_CCDS11745.1_ex1_17:74465300-74465323:-_5-3","AANAT",469,433.444444444444,441.5,342,506.5,395.666666666667
"AANAT_CCDS11745.1_ex1_17:74465314-74465337:-_5-4","AANAT",380,518.111111111111,514,302.666666666667,428.166666666667,275.666666666667
"AANAT_CCDS11745.1_ex1_17:74465365-74465388:+_5-5","AANAT",473,499.777777777778,520.333333333333,358.333333333333,576.833333333333,306.333333333333
"AAR2_CCDS13273.1_ex0_20:34827888-34827911:+_5-1","AAR2",329,396.666666666667,411.666666666667,336.333333333333,230.666666666667,298.333333333333
"AAR2_CCDS13273.1_ex0_20:34827917-34827940:-_5-2","AAR2",415,557.222222222222,716,442.333333333333,505.666666666667,491
"AAR2_CCDS13273.1_ex0_20:34827975-34827998:+_5-3","AAR2",376,390.222222222222,459.666666666667,375.333333333333,477.833333333333,417
"AAR2_CCDS13273.1_ex0_20:34828005-34828028:-_5-4","AAR2",109,103.222222222222,143.5,116.333333333333,70.1666666666667,114.666666666667
"AAR2_CCDS13273.1_ex0_20:34828259-34828282:-_5-5","AAR2",371,435.777777777778,607.5,346,403,354.333333333333
"AARD_CCDS34935.1_ex0_8:117950565-117950588:-_5-1","AARD",426,281.222222222222,278.666666666667,182,390.166666666667,447
"AARD_CCDS34935.1_ex0_8:117950578-117950601:+_5-2","AARD",443,247.333333333333,314,277.333333333333,240,488.333333333333
"AARD_CCDS34935.1_ex0_8:117950645-117950668:+_5-3","AARD",436,313.666666666667,381.333333333333,252.666666666667,342,528
"AARD_CCDS34935.1_ex0_8:117950667-117950690:+_5-4","AARD",307,140.555555555556,108.333333333333,65,78.8333333333333,118.666666666667
"AARD_CCDS34935.1_ex0_8:117950700-117950723:+_5-5","AARD",627,442.444444444444,589.333333333333,410.666666666667,581.333333333333,537.666666666667
"AARS_CCDS32474.1_ex10_16:70298929-70298952:-_5-1","AARS",334,16.6666666666667,35.5,20.3333333333333,21.5,37.3333333333333
"AARS_CCDS32474.1_ex13_16:70302238-70302261:+_5-2","AARS",519,40,56.5,6.33333333333333,53.5,56
"AARS_CCDS32474.1_ex16_16:70305735-70305758:-_5-3","AARS",351,146.888888888889,179.833333333333,164,176.166666666667,164.666666666667
"AARS_CCDS32474.1_ex16_16:70305762-70305785:+_5-4","AARS",460,101.333333333333,114.5,67.3333333333333,79.3333333333333,186.333333333333
