"sgRNA","gene","logFC","logCPM","LR","PValue","FDR"
"PPP6R3_CCDS53671.1_ex2_11:68315626-68315649:-_5-3","PPP6R3",-0.951520814821731,2.70560049192216,12.2849575442599,0.000456623787268599,0.00661571544467873
"sgLIG3_3","LIG3_LS",-1.06144251909191,2.19473987463105,12.2843184619372,0.000456780177795478,0.0066170278197893
"sgTNRC18_8","TNRC18_LS",-1.0225878924745,2.61351724089436,12.2819372360703,0.000457363366198106,0.00662452162314223
"TRIM43_CCDS2015.1_ex2_2:96261959-96261982:+_5-4","TRIM43",-0.94404276127686,2.43439799377798,12.2785058306773,0.000458205076869589,0.00663575720497772
"ATP6V1F_CCDS56511.1_ex0_7:128503053-128503076:-_5-1","ATP6V1F",-2.01468260044075,1.44196481120772,12.2741233124819,0.000459282365444528,0.00665040071472953
"TIMM9_CCDS9735.1_ex1_14:58877546-58877569:+_4-2","TIMM9",-1.31789439842661,1.57174224891013,12.2733754699202,0.000459466451463139,0.0066521083121911
"TSR2_CCDS14358.1_ex3_X:54470546-54470569:-_5-5","TSR2",-1.09546100310328,2.92706585758183,12.2639272030974,0.000461798623011755,0.00668491070331255
"NPBWR2_CCDS13557.1_ex0_20:62737719-62737742:+_5-1","NPBWR2",-0.942504427344185,2.66440209262366,12.2618475325897,0.000462313562378135,0.00669125597944311
"MED29_CCDS33021.1_ex2_19:39884243-39884266:+_5-5","MED29",-0.956777478827827,2.65705358566067,12.2616195244178,0.000462370053856038,0.00669125597944311
"sgALKBH2_7","ALKBH2_LS",-1.95909504424395,1.35834890100231,12.2596141038543,0.00046286721854792,0.00669748682656135
"CALCB_CCDS7820.1_ex1_11:15096612-15096635:+_5-1","CALCB",-0.737168004436967,3.13311707787497,12.2578110764325,0.000463314668398115,0.00670299663205209
"POLR3H_CCDS14018.1_ex4_22:41936783-41936806:-_5-5","POLR3H",-1.83887432652118,1.6815591842963,12.251099096456,0.000464984193086222,0.00672618265438448
"TRMT10C_CCDS43122.1_ex0_3:101284181-101284204:+_5-5","TRMT10C",-1.19799611154614,2.94913875042499,12.2485379567924,0.000465622845032802,0.00673445216415466
"TAF5_CCDS7547.1_ex2_10:105138018-105138041:-_5-5","TAF5",-1.11996323867178,2.05621359378665,12.2481420740073,0.000465721642275926,0.00673491232693831
"ASNA1_CCDS32920.1_ex3_19:12856452-12856475:+_5-5","ASNA1",-1.16021851091057,2.50593911151764,12.2460728211988,0.000466238393228842,0.00674119928296737
"EWSR1_CCDS13851.1_ex4_22:29674155-29674178:-_5-4","EWSR1",-0.915333574484614,2.47948286747722,12.2458643941637,0.000466290475420323,0.00674119928296737
"TRIM9_CCDS45105.1_ex6_14:51561203-51561226:-_5-3","TRIM9",-0.771414631352549,2.93251385645297,12.2455941422415,0.000466358015288224,0.00674120645187114
"RPRD1B_CCDS13301.1_ex0_20:36662473-36662496:-_5-1","RPRD1B",-0.972360382459575,2.19700730334473,12.2411960495587,0.000467458551024438,0.00675529196418534
"sgSRSF5_7","SRSF5_LS",-1.31674674857066,1.66515613371732,12.2411630356105,0.000467466822015153,0.00675529196418534
"sgRFC4_5","RFC4_LS",-2.1515040812845,0.631424341682582,12.2400506065444,0.000467745605426057,0.00675834931455447
"AFAP1L2_CCDS31286.1_ex13_10:116075431-116075454:+_5-4","AFAP1L2",0.767627458241742,3.50291170401267,12.2382726426149,0.000468191525491804,0.00676382035871772
"sgRAD21_8","RAD21_LS",-1.01423309795728,2.25134696425292,12.2377349859296,0.000468326456281628,0.00676479770904488
"KIF14_CCDS30963.1_ex21_1:200573016-200573039:-_5-3","KIF14",-2.02161521979255,-0.292926749752283,12.2352689070686,0.00046894584855075,0.00677277163543943
"PABPN1_CCDS9592.1_ex0_14:23790801-23790824:+_4-1","PABPN1",-1.35953763613623,2.44842882372079,12.2348010901806,0.000469063440952799,0.00677349704500402
